Listcode,originalFileName,quantity
H-Manhattan,StaticHoldout_2019refresh_H-Manhattan.forClient.csv,26054
H-Greater Houston,StaticHoldout_2021_H-Greater Houston.forClient.csv,25024
H-Nebraska,StaticHoldout_2022_H-Nebraska.forClient.csv,25134
H-New Orleans,StaticHoldout_2019refresh_H-New Orleans.forClient.csv,25844
H-Atlanta,StaticHoldout_2019refresh_H-Atlanta.forClient.csv,26453
H-Gr DC VA,StaticHoldout_2019refresh_H-Gr DC VA.forClient.csv,26373
H-Colorado,StaticHoldout_2022_H-Colorado.forClient.csv,25201
H-Fort Lauderdale,StaticHoldout_2019refresh_H-Fort Lauderdale.forClient.csv,26041
H-Illinois,StaticHoldout_2019refresh_H-Illinois.forClient.csv,25478
H-Alaska,StaticHoldout_2020_H-Alaska.forClient.csv,13340
H-Gr DC MD,StaticHoldout_2019refresh_H-Gr DC MD.forClient.csv,24748
H-Gr Seattle,StaticHoldout_2019refresh_H-Gr Seattle.forClient.csv,26714
H-New Mexico,StaticHoldout_2020_H-New Mexico.forClient.csv,25385
H-Texas,StaticHoldout_2019refresh_H-Texas.forClient.csv,25981
H-Gr LA OC,StaticHoldout_2019refresh_H-Gr LA OC.forClient.csv,25782
H-SF,StaticHoldout_2019refresh_H-SF.forClient.csv,26649
H-Georgia,StaticHoldout_2021_H-Georgia.forClient.csv,25080
H-Louisville,StaticHoldout_2019refresh_H-Louisville.forClient.csv,24975
H-Gr Chicago,StaticHoldout_2019refresh_H-Gr Chicago.forClient.csv,24944
H-Houston,StaticHoldout_2019refresh_H-Houston.forClient.csv,23465
H-Inland Empire,StaticHoldout_2021_H-Inland Empire.forClient.csv,25165
H-Tampa,StaticHoldout_2020_H-Tampa.forClient.csv,25803
H-San Antonio,StaticHoldout_2019refresh_H-San Antonio.forClient.csv,25389
H-Minnesota,StaticHoldout_2019refresh_H-Minnesota.forClient.csv,25747
H-Tulsa,StaticHoldout_2022_H-Tulsa.forClient.csv,25173
H-New En MENHVT,StaticHoldout_2022_H-New En MENHVT.forClient.csv,25654
H-Upstate NY,StaticHoldout_2019refresh_H-Upstate NY.forClient.csv,25247
H-Aurora,StaticHoldout_2022_H-Aurora.forClient.csv,25698
H-Kentucky,StaticHoldout_2022_H-Kentucky.forClient.csv,25438
H-Boston,StaticHoldout_2019refresh_H-Boston.forClient.csv,25829
H-Salt Lake City,StaticHoldout_2019refresh_H-Salt Lake City.forClient.csv,23354
H-Silicon Valley,StaticHoldout_2019refresh_H-Silicon Valley.forClient.csv,27467
H-Alabama,StaticHoldout_2022_H-Alabama.forClient.csv,25470
H-Gr NYC WC,StaticHoldout_2019refresh_H-Gr NYC WC.forClient.csv,13613
H-Phoenix,StaticHoldout_2019refresh_H-Phoenix.forClient.csv,25161
H-Pittsburgh,StaticHoldout_2019refresh_H-Pittsburgh.forClient.csv,25628
H-Queens,StaticHoldout_2019refresh_H-Queens.forClient.csv,25814
H-Seattle,StaticHoldout_2019refresh_H-Seattle.forClient.csv,26154
H-Pacific Northwest,StaticHoldout_2019refresh_H-Pacific Northwest.forClient.csv,25267
H-Charlotte,StaticHoldout_2019refresh_H-Charlotte.forClient.csv,26631
H-Spring TX,StaticHoldout_2022_H-Spring TX.forClient.csv,25180
H-Omaha,StaticHoldout_2019refresh_H-Omaha.forClient.csv,25168
H-Gr Dallas,StaticHoldout_2019refresh_H-Gr Dallas.forClient.csv,25005
H-Southern Californi,StaticHoldout_2019refresh_H-Southern Californi.forClient.csv,25741
H-Portland,StaticHoldout_2019refresh_H-Portland.forClient.csv,24364
H-Raleigh,StaticHoldout_2019refresh_H-Raleigh.forClient.csv,25535
H-Chicago,StaticHoldout_2019refresh_H-Chicago.forClient.csv,24992
H-New En MA-RI,StaticHoldout_2022_H-New En MA-RI.forClient.csv,25410
H-Austin,StaticHoldout_2019refresh_H-Austin.forClient.csv,26146
H-Detroit,StaticHoldout_2019refresh_H-Detroit.forClient.csv,26099
H-ColoradoSpr,StaticHoldout_2022_H-ColoradoSpr.forClient.csv,25566
H-Las Vegas,StaticHoldout_2020_H-Las Vegas.forClient.csv,24021
H-San Diego,StaticHoldout_2019refresh_H-San Diego.forClient.csv,25031
H-DC,StaticHoldout_2019refresh_H-DC.forClient.csv,24968
H-Missouri Kansas,StaticHoldout_2019refresh_H-Missouri Kansas.forClient.csv,25757
H-St Louis,StaticHoldout_2019refresh_H-St Louis.forClient.csv,25831
H-Milwaukee,StaticHoldout_2019refresh_H-Milwaukee.forClient.csv,25463
H-Nevada,StaticHoldout_2022_H-Nevada.forClient.csv,25163
H-Tucson,StaticHoldout_2022_H-Tucson.forClient.csv,25496
H-Gr NYC NJ,StaticHoldout_2019refresh_H-Gr NYC NJ.forClient.csv,25146
H-Gr SF 1 East Bay,StaticHoldout_2019refresh_H-Gr SF 1 East Bay.forClient.csv,25735
H-St Paul,StaticHoldout_2022_H-St Paul.forClient.csv,25092
H-Nashville,StaticHoldout_2019refresh_H-Nashville.forClient.csv,24991
H-Gr PHX AZ,StaticHoldout_2022_H-Gr PHX AZ.forClient.csv,25441
H-Naples,StaticHoldout_2020_H-Naples.forClient.csv,15418
H-Indianapolis,StaticHoldout_2019refresh_H-Indianapolis.forClient.csv,25989
H-Louisiana,StaticHoldout_2019refresh_H-Louisiana.forClient.csv,23650
H-Northern Californi,StaticHoldout_2019refresh_H-Northern Californi.forClient.csv,25473
H-Tennessee,StaticHoldout_2020_H-Tennessee.forClient.csv,26115
H-LA,StaticHoldout_2019refresh_H-LA.forClient.csv,26203
H-West Palm Beach,StaticHoldout_2021_H-West Palm Beach.forClient.csv,25107
H-Columbus,StaticHoldout_2019refresh_H-Columbus.forClient.csv,25839
H-Birmingham,StaticHoldout_2019refresh_H-Birmingham.forClient.csv,24409
H-Brooklyn,StaticHoldout_2019refresh_H-Brooklyn.forClient.csv,25943
H-El Paso,StaticHoldout_2020_H-El Paso.forClient.csv,25899
H-Gr NYC Connecticut,StaticHoldout_2019refresh_H-Gr NYC Connecticut.forClient.csv,24882
H-Utah,StaticHoldout_2020_H-Utah.forClient.csv,25910
H-South Carolina,StaticHoldout_2019refresh_H-South Carolina.forClient.csv,24743
H-Cincinnati,StaticHoldout_2020_H-Cincinnati.forClient.csv,23842
H-Dallas,StaticHoldout_2019refresh_H-Dallas.forClient.csv,24088
H-Orlando,StaticHoldout_2019refresh_H-Orlando.forClient.csv,24923
H-New Jersey,StaticHoldout_2020_H-New Jersey.forClient.csv,18686
H-Gr NYC LI,StaticHoldout_2019refresh_H-Gr NYC LI.forClient.csv,13134
H-Oklahoma City,StaticHoldout_2020_H-Oklahoma City.forClient.csv,25231
H-Denver,StaticHoldout_2019refresh_H-Denver.forClient.csv,26581
H-Gr LA Malibu,StaticHoldout_2019refresh_H-Gr LA Malibu.forClient.csv,26187
H-Miami,StaticHoldout_2019refresh_H-Miami.forClient.csv,26186
H-Dayton,StaticHoldout_2022_H-Dayton.forClient.csv,25004
H-Virginia,StaticHoldout_2020_H-Virginia.forClient.csv,32557
H-Greater Austin,StaticHoldout_2021_H-Greater Austin.forClient.csv,25303
H-Cleveland,StaticHoldout_2021_H-Cleveland.forClient.csv,25429
H-North Carolina,StaticHoldout_2021_H-North Carolina.forClient.csv,25426
H-Wisconsin,StaticHoldout_2019refresh_H-Wisconsin.forClient.csv,25607
H-Minneapolis,StaticHoldout_2022_H-Minneapolis.forClient.csv,25382
H-Jacksonville,StaticHoldout_2020_H-Jacksonville.forClient.csv,25451
H-Gr Boston,StaticHoldout_2019refresh_H-Gr Boston.forClient.csv,25008
H-Gr SF 2 San Mateo,StaticHoldout_2019refresh_H-Gr SF 2 San Mateo.forClient.csv,26545
H-Sacramento,StaticHoldout_2019refresh_H-Sacramento.forClient.csv,25661
H-Philadelphia,StaticHoldout_2019refresh_H-Philadelphia.forClient.csv,25414
H-Baltimore,StaticHoldout_2019refresh_H-Baltimore.forClient.csv,25232
H-Memphis,StaticHoldout_2022_H-Memphis.forClient.csv,25387
